behavior_id,user_id,product_id,product_name,category_id,category_name,behavior,datetime,price,quantity,channel,device,province,city,user_segment,page_type,session_id,is_new_user,campaign_id,source_keyword,order_id
B000015,U000556,P000119,轻盈宠物用品日常款,C08,宠物用品,buy,2026-01-02 13:09:00,99.00,4,taobao,android,广东省,深圳市,regular,checkout,S000016,0,C202605,轻盈宠物,O000015
B000016,U000593,P000033,云感美妆个护升级版,C01,美妆个护,buy,2026-01-02 08:17:00,88.00,1,douyin,mac,湖北省,武汉市,regular,checkout,S000017,0,C202602,云感美妆,O000016
B000017,U000630,P000107,轻盈运动户外便携装,C07,运动户外,buy,2026-01-02 23:36:00,176.00,1,douyin,windows,湖北省,武汉市,regular,checkout,S000018,0,C202601,轻盈运动,O000017
B000018,U000667,P000050,臻选生鲜套装,C09,生鲜,buy,2026-01-02 19:52:00,108.00,1,douyin,windows,江苏省,南京市,regular,checkout,S000019,0,C202602,臻选生鲜,O000018
B000019,U000704,P000066,轻氧母婴用品旗舰款,C06,母婴用品,buy,2026-01-02 21:45:00,76.00,1,jd,mac,江苏省,南京市,regular,checkout,S000020,0,C202605,轻氧母婴,O000019
B000020,U000741,P000013,悦活食品饮料升级版,C02,食品饮料,buy,2026-01-02 08:59:00,91.00,1,offline,android,福建省,厦门市,regular,checkout,S000021,0,C202605,悦活食品,O000020
B000021,U000778,P000120,轻氧宠物用品套装,C08,宠物用品,buy,2026-01-02 12:46:00,58.00,1,wechat,windows,浙江省,杭州市,regular,checkout,S000022,0,C202605,轻氧宠物,O000021
B000022,U000815,P000112,原野生鲜便携装,C09,生鲜,buy,2026-01-02 08:07:00,113.00,1,jd,mac,河南省,郑州市,regular,checkout,S000023,0,C202606,原野生鲜,O000022
B000023,U000852,P000132,轻氧家居日用便携装,C04,家居日用,buy,2026-01-03 12:52:00,91.00,1,wechat,ios,四川省,成都市,new,checkout,S000024,1,C202604,轻氧家居,O000023
B000024,U000889,P000129,云感服饰日常款,C03,服饰,buy,2026-01-03 18:14:00,307.00,1,wechat,android,广东省,深圳市,new,checkout,S000025,1,C202605,云感服饰,O000024
B000025,U000026,P000089,轻盈美妆个护日常款,C01,美妆个护,buy,2026-01-03 09:44:00,69.00,1,offline,windows,上海市,上海市,high_value,checkout,S000026,0,C202604,轻盈美妆,O000025
B000026,U000063,P000159,云感旅行用品日常款,C10,旅行用品,buy,2026-01-03 18:16:00,514.00,1,search,mac,湖北省,武汉市,high_value,checkout,S000027,0,C202601,云感旅行,O000026
B000027,U000100,P000064,原野宠物用品日常款,C08,宠物用品,buy,2026-01-03 18:33:00,140.00,1,offline,android,浙江省,杭州市,high_value,checkout,S000028,0,C202602,原野宠物,O000027
B000028,U000137,P000011,轻盈旅行用品旗舰款,C10,旅行用品,buy,2026-01-03 18:48:00,224.00,1,douyin,android,湖北省,武汉市,member,checkout,S000029,0,C202606,轻盈旅行,O000028
B000029,U000174,P000039,云感生鲜日常款,C09,生鲜,buy,2026-01-03 09:05:00,109.00,1,search,mac,上海市,上海市,member,checkout,S000030,0,C202605,云感生鲜,O000029
B000030,U000211,P000093,云感生鲜升级版,C09,生鲜,buy,2026-01-03 20:51:00,39.00,4,wechat,windows,江苏省,南京市,member,checkout,S000031,0,C202601,云感生鲜,O000030
B000031,U000248,P000154,原野生鲜日常款,C09,生鲜,buy,2026-01-03 23:09:00,103.00,1,offline,windows,浙江省,杭州市,member,checkout,S000032,0,C202602,原野生鲜,O000031
B000032,U000285,P000075,云感母婴用品套装,C06,母婴用品,buy,2026-01-03 12:27:00,82.00,1,offline,mac,浙江省,杭州市,member,checkout,S000033,0,C202602,云感母婴,O000032
B000033,U000322,P000102,轻氧母婴用品便携装,C06,母婴用品,buy,2026-01-03 14:36:00,104.00,4,jd,ios,广东省,深圳市,member,checkout,S000034,0,C202605,轻氧母婴,O000033
B000034,U000359,P000025,悦活宠物用品套装,C08,宠物用品,buy,2026-01-04 08:37:00,105.00,1,jd,android,山东省,青岛市,member,checkout,S000035,0,C202605,悦活宠物,O000034
B000035,U000396,P000025,悦活宠物用品套装,C08,宠物用品,buy,2026-01-04 23:14:00,105.00,1,douyin,windows,浙江省,杭州市,member,checkout,S000036,0,C202602,悦活宠物,O000035
B000036,U000433,P000165,云感生鲜套装,C09,生鲜,buy,2026-01-04 20:30:00,43.00,1,douyin,android,北京市,北京市,regular,checkout,S000037,0,C202603,云感生鲜,O000036
B000037,U000470,P000139,悦活运动户外日常款,C07,运动户外,buy,2026-01-04 18:30:00,358.00,1,douyin,windows,湖北省,武汉市,regular,checkout,S000038,0,C202603,悦活运动,O000037
B000038,U000507,P000048,轻氧宠物用品升级版,C08,宠物用品,购买,2026-01-04 19:15:00,142.00,1,jd,windows,广东省,深圳市,regular,checkout,S000039,0,C202604,轻氧宠物,O000038
B000039,U000544,P000160,原野旅行用品套装,C10,旅行用品,buy,2026-01-04 14:40:00,231.00,1,taobao,ios,江苏省,南京市,regular,checkout,S000040,0,C202605,原野旅行,O000039
B000040,U000581,P000074,臻选美妆个护日常款,C01,美妆个护,buy,2026-01-04 23:54:00,71.00,1,taobao,windows,上海市,上海市,regular,checkout,S000041,0,C202603,臻选美妆,O000040
B000041,U000618,P000030,轻氧家居日用套装,C04,家居日用,buy,2026-01-04 11:49:00,106.00,1,wechat,windows,福建省,厦门市,regular,checkout,S000042,0,C202605,轻氧家居,O000041
B000042,U000655,P000166,原野服饰旗舰款,C03,服饰,buy,2026-01-04 19:15:00,378.00,1,jd,windows,福建省,厦门市,regular,checkout,S000043,0,C202606,原野服饰,O000042
B000043,U000692,P000066,轻氧母婴用品旗舰款,C06,母婴用品,buy,2026-01-04 17:40:00,76.00,1,search,android,河南省,郑州市,regular,checkout,S000044,0,C202605,轻氧母婴,O000043
B000044,U000729,P000070,原野宠物用品套装,C08,宠物用品,buy,2026-01-04 15:06:00,147.00,1,search,mac,福建省,厦门市,regular,checkout,S000045,0,C202604,原野宠物,O000044
B000045,U000766,P000060,轻氧数码配件套装,C05,数码配件,buy,2026-01-05 17:30:00,269.00,1,taobao,android,山东省,青岛市,regular,checkout,S000046,0,C202603,轻氧数码,O000045
B000046,U000803,P000020,臻选数码配件套装,C05,数码配件,buy,2026-01-05 17:13:00,252.00,1,wechat,windows,广东省,深圳市,regular,checkout,S000047,0,C202602,臻选数码,O000046
B000047,U000840,P000163,悦活生鲜升级版,C09,生鲜,buy,2026-01-05 22:51:00,69.00,1,taobao,mac,江苏省,南京市,new,checkout,S000048,1,C202603,悦活生鲜,O000047
B000048,U000877,P000010,原野旅行用品套装,C10,旅行用品,buy,2026-01-05 08:51:00,302.00,1,jd,windows,湖北省,武汉市,new,checkout,S000049,1,C202605,原野旅行,O000048
B000049,U000014,P000046,原野食品饮料旗舰款,C02,食品饮料,buy,2026-01-05 10:45:00,69.00,1,taobao,ios,湖北省,武汉市,high_value,checkout,S000050,0,C202604,原野食品,O000049
B000050,U000051,P000126,轻氧旅行用品旗舰款,C10,旅行用品,buy,2026-01-05 20:33:00,248.00,1,search,windows,山东省,青岛市,high_value,checkout,S000051,0,C202606,轻氧旅行,O000050
B000051,U000088,P000161,轻盈家居日用旗舰款,C04,家居日用,buy,2026-01-05 08:33:00,160.00,1,douyin,mac,北京市,北京市,high_value,checkout,S000052,0,C202603,轻盈家居,O000051
B000052,U000125,P000070,原野宠物用品套装,C08,宠物用品,buy,2026-01-05 14:26:00,147.00,1,search,windows,四川省,成都市,member,checkout,S000053,0,C202606,原野宠物,O000052
B000053,U000162,P000145,悦活宠物用品套装,C08,宠物用品,buy,2026-01-05 19:23:00,42.00,3,search,mac,浙江省,杭州市,member,checkout,S000054,0,C202604,悦活宠物,O000053
B000054,U000199,P000092,臻选服饰便携装,C03,服饰,buy,2026-01-05 23:30:00,291.00,1,taobao,mac,山东省,青岛市,member,checkout,S000055,0,C202601,臻选服饰,O000054
B000055,U000236,P000045,云感食品饮料套装,C02,食品饮料,buy,2026-01-05 20:35:00,67.00,1,douyin,ios,湖北省,武汉市,member,checkout,S000056,0,C202603,云感食品,O000055
B000056,U000273,P000026,臻选生鲜旗舰款,C09,生鲜,buy,2026-01-06 10:23:00,88.00,1,douyin,android,湖北省,武汉市,member,checkout,S000057,0,C202603,臻选生鲜,O000056
B000057,U000310,P000105,云感运动户外套装,C07,运动户外,buy,2026-01-06 22:59:00,142.00,3,taobao,mac,江苏省,南京市,member,checkout,S000058,0,C202603,云感运动,O000057
B000058,U000347,P000119,轻盈宠物用品日常款,C08,宠物用品,buy,2026-01-06 08:04:00,99.00,2,taobao,mac,河南省,郑州市,member,checkout,S000059,0,C202604,轻盈宠物,O000058
B000059,U000384,P000016,原野运动户外旗舰款,C07,运动户外,buy,2026-01-06 12:28:00,164.00,4,search,ios,河南省,郑州市,member,checkout,S000060,0,C202603,原野运动,O000059
B000060,U000421,P000145,悦活宠物用品套装,C08,宠物用品,buy,2026-01-06 18:41:00,42.00,1,offline,android,北京市,北京市,regular,checkout,S000061,0,C202603,悦活宠物,O000060
B000061,U000458,P000089,轻盈美妆个护日常款,C01,美妆个护,buy,2026-01-06 12:16:00,69.00,1,search,android,湖北省,武汉市,regular,checkout,S000062,0,C202605,轻盈美妆,O000061
B000062,U000495,P000113,轻盈旅行用品升级版,C10,旅行用品,buy,2026-01-06 08:40:00,483.00,1,search,android,北京市,北京市,regular,checkout,S000063,0,C202606,轻盈旅行,O000062
B000063,U000532,P000100,原野运动户外套装,C07,运动户外,buy,2026-01-06 19:23:00,235.00,1,offline,android,山东省,青岛市,regular,checkout,S000064,0,C202605,原野运动,O000063
B000064,U000569,P000083,轻盈运动户外升级版,C07,运动户外,buy,2026-01-06 23:37:00,227.00,1,wechat,windows,上海市,上海市,regular,checkout,S000065,0,C202606,轻盈运动,O000064
B000065,U000606,P000042,轻氧美妆个护便携装,C01,美妆个护,buy,2026-01-06 21:18:00,69.00,4,jd,android,四川省,成都市,regular,checkout,S000066,0,C202601,轻氧美妆,O000065
B000066,U000643,P000083,轻盈运动户外升级版,C07,运动户外,buy,2026-01-06 10:02:00,227.00,1,search,mac,四川省,成都市,regular,checkout,S000067,0,C202606,轻盈运动,O000066
B000067,U000680,P000121,悦活运动户外旗舰款,C07,运动户外,buy,2026-01-07 16:46:00,291.00,1,wechat,mac,福建省,厦门市,regular,checkout,S000068,0,C202606,悦活运动,O000067
B000068,U000717,P000135,云感数码配件套装,C05,数码配件,buy,2026-01-07 15:22:00,182.00,1,douyin,mac,北京市,北京市,regular,checkout,S000069,0,C202604,云感数码,O000068
B000069,U000754,P000121,悦活运动户外旗舰款,C07,运动户外,buy,2026-01-07 21:51:00,291.00,1,wechat,mac,四川省,成都市,regular,checkout,S000070,0,C202605,悦活运动,O000069
B000070,U000791,P000116,臻选数码配件旗舰款,C05,数码配件,buy,2026-01-07 08:15:00,228.00,1,search,windows,上海市,上海市,regular,checkout,S000071,0,C202601,臻选数码,O000070
B000071,U000828,P000062,臻选旅行用品便携装,C10,旅行用品,buy,2026-01-07 10:53:00,226.00,2,wechat,android,浙江省,杭州市,new,checkout,S000072,1,C202602,臻选旅行,O000071
B000072,U000865,P000134,臻选数码配件日常款,C05,数码配件,buy,2026-01-07 19:31:00,120.00,1,wechat,android,江苏省,南京市,new,checkout,S000073,1,C202603,臻选数码,O000072
B000073,U000002,P000039,云感生鲜日常款,C09,生鲜,buy,2026-01-07 22:58:00,109.00,1,offline,android,浙江省,杭州市,high_value,checkout,S000074,0,C202603,云感生鲜,O000073
B000074,U000039,P000043,悦活服饰升级版,C03,服饰,buy,2026-01-07 09:01:00,237.00,1,taobao,mac,福建省,厦门市,high_value,checkout,S000075,0,C202604,悦活服饰,O000074
B000075,U000076,P000106,原野母婴用品旗舰款,C06,母婴用品,buy,2026-01-07 13:53:00,102.00,1,offline,ios,河南省,郑州市,high_value,checkout,S000076,0,C202602,原野母婴,O000075
B000076,U000113,P000017,轻盈食品饮料便携装,C02,食品饮料,buy,2026-01-07 13:15:00,71.00,1,wechat,windows,江苏省,南京市,high_value,checkout,S000077,0,C202605,轻盈食品,O000076
B000077,U000150,P000080,臻选家居日用套装,C04,家居日用,buy,2026-01-07 21:52:00,148.00,1,jd,windows,江苏省,南京市,member,checkout,S000078,0,C202603,臻选家居,O000077
B000078,U000187,P000028,原野数码配件升级版,C05,数码配件,buy,2026-01-08 20:23:00,158.00,4,jd,windows,湖北省,武汉市,member,checkout,S000079,0,C202603,原野数码,O000078
B000079,U000224,P000047,轻盈服饰便携装,C03,服饰,buy,2026-01-08 08:39:00,154.00,1,taobao,android,浙江省,杭州市,member,checkout,S000080,0,C202601,轻盈服饰,O000079
B000080,U000261,P000122,臻选运动户外便携装,C07,运动户外,buy,2026-01-08 11:16:00,212.00,1,wechat,mac,浙江省,杭州市,member,checkout,S000081,0,C202603,臻选运动,O000080
B000081,U000298,P000045,云感食品饮料套装,C02,食品饮料,buy,2026-01-08 16:06:00,67.00,4,jd,ios,江苏省,南京市,member,checkout,S000082,0,C202606,云感食品,O000081
B000082,U000335,P000054,轻氧美妆个护日常款,C01,美妆个护,buy,2026-01-08 09:45:00,138.00,1,douyin,windows,北京市,北京市,member,checkout,S000083,0,C202604,轻氧美妆,O000082
B000083,U000372,P000046,原野食品饮料旗舰款,C02,食品饮料,buy,2026-01-08 18:41:00,69.00,1,wechat,ios,河南省,郑州市,member,checkout,S000084,0,C202601,原野食品,O000083
B000084,U000409,P000071,轻盈宠物用品旗舰款,C08,宠物用品,buy,2026-01-08 23:02:00,144.00,1,offline,android,四川省,成都市,member,checkout,S000085,0,C202605,轻盈宠物,O000084
B000085,U000446,P000012,轻氧母婴用品便携装,C06,母婴用品,buy,2026-01-08 11:31:00,128.00,3,taobao,ios,四川省,成都市,regular,checkout,S000086,0,C202601,轻氧母婴,O000085
B000086,U000483,P000012,轻氧母婴用品便携装,C06,母婴用品,buy,2026-01-08 11:43:00,128.00,1,taobao,android,浙江省,杭州市,regular,checkout,S000087,0,C202604,轻氧母婴,O000086
B000087,U000520,P000157,悦活旅行用品便携装,C10,旅行用品,buy,2026-01-08 22:15:00,436.00,1,wechat,windows,山东省,青岛市,regular,checkout,S000088,0,C202604,悦活旅行,O000087
B000088,U000557,P000041,轻盈家居日用旗舰款,C04,家居日用,buy,2026-01-08 20:20:00,166.00,4,taobao,android,河南省,郑州市,regular,checkout,S000089,0,C202603,轻盈家居,O000088
B000089,U000594,P000027,云感宠物用品便携装,C08,宠物用品,buy,2026-01-09 10:05:00,96.00,1,offline,ios,广东省,深圳市,regular,checkout,S000090,0,C202602,云感宠物,O000089
B000090,U000631,P000030,轻氧家居日用套装,C04,家居日用,buy,2026-01-09 13:28:00,106.00,1,wechat,ios,浙江省,杭州市,regular,checkout,S000091,0,C202601,轻氧家居,O000090
B000091,U000668,P000169,悦活生鲜日常款,C09,生鲜,buy,2026-01-09 20:07:00,42.00,4,wechat,windows,上海市,上海市,regular,checkout,S000092,0,C202606,悦活生鲜,O000091
B000092,U000705,P000099,云感服饰日常款,C03,服饰,buy,2026-01-09 09:00:00,230.00,1,search,android,北京市,北京市,regular,checkout,S000093,0,C202603,云感服饰,O000092
B000093,U000742,P000166,原野服饰旗舰款,C03,服饰,buy,2026-01-09 15:50:00,378.00,1,douyin,ios,河南省,郑州市,regular,checkout,S000094,0,C202605,原野服饰,O000093
B000094,U000779,P000130,原野服饰套装,C03,服饰,buy,2026-01-09 16:26:00,194.00,1,offline,windows,上海市,上海市,regular,checkout,S000095,0,C202602,原野服饰,O000094
B000095,U000816,P000034,原野生鲜日常款,C09,生鲜,buy,2026-01-09 16:08:00,71.00,2,jd,mac,上海市,上海市,regular,checkout,S000096,0,C202601,原野生鲜,O000095
B000096,U000853,P000129,云感服饰日常款,C03,服饰,buy,2026-01-09 18:59:00,307.00,3,taobao,android,北京市,北京市,new,checkout,S000097,1,C202606,云感服饰,O000096
B000097,U000890,P000006,轻氧母婴用品旗舰款,C06,母婴用品,buy,2026-01-09 08:19:00,161.00,2,search,windows,浙江省,杭州市,new,checkout,S000098,1,C202601,轻氧母婴,O000097
B000098,U000027,P000063,云感母婴用品升级版,C06,母婴用品,buy,2026-01-09 17:35:00,165.00,1,jd,mac,浙江省,杭州市,high_value,checkout,S000099,0,C202602,云感母婴,O000098
B000099,U000064,P000129,云感服饰日常款,C03,服饰,buy,2026-01-09 12:40:00,307.00,2,jd,windows,山东省,青岛市,high_value,checkout,S000100,0,C202604,云感服饰,O000099
B000100,U000101,P000085,悦活家居日用套装,C04,家居日用,buy,2026-01-10 15:28:00,70.00,1,taobao,windows,江苏省,南京市,high_value,checkout,S000101,0,C202602,悦活家居,O000100
B000101,U000138,P000048,轻氧宠物用品升级版,C08,宠物用品,buy,2026-01-10 10:41:00,142.00,1,offline,ios,湖北省,武汉市,member,checkout,S000102,0,C202605,轻氧宠物,O000101
B000102,U000175,P000162,轻氧食品饮料便携装,C02,食品饮料,buy,2026-01-10 09:47:00,73.00,1,taobao,android,福建省,厦门市,member,checkout,S000103,0,C202603,轻氧食品,O000102
B000103,U000212,P000089,轻盈美妆个护日常款,C01,美妆个护,buy,2026-01-10 12:02:00,69.00,1,wechat,windows,四川省,成都市,member,checkout,S000104,0,C202606,轻盈美妆,O000103
B000104,U000249,P000087,云感旅行用品便携装,C10,旅行用品,buy,2026-01-10 22:03:00,609.00,4,search,android,江苏省,南京市,member,checkout,S000105,0,C202603,云感旅行,O000104
B000105,U000286,P000126,轻氧旅行用品旗舰款,C10,旅行用品,buy,2026-01-10 14:57:00,248.00,1,search,mac,山东省,青岛市,member,checkout,S000106,0,C202606,轻氧旅行,O000105
B000106,U000323,P000014,臻选食品饮料日常款,C02,食品饮料,buy,2026-01-10 10:47:00,60.00,1,douyin,android,湖北省,武汉市,member,checkout,S000107,0,C202601,臻选食品,O000106
B000107,U000360,P000138,轻氧数码配件升级版,C05,数码配件,buy,2026-01-10 23:30:00,150.00,1,wechat,android,山东省,青岛市,member,checkout,S000108,0,C202606,轻氧数码,O000107
B000108,U000397,P000130,原野服饰套装,C03,服饰,buy,2026-01-10 21:05:00,194.00,1,douyin,mac,江苏省,南京市,member,checkout,S000109,0,C202602,原野服饰,O000108
B000109,U000434,P000024,轻氧食品饮料日常款,C02,食品饮料,buy,2026-01-10 09:56:00,55.00,1,wechat,mac,北京市,北京市,regular,checkout,S000110,0,C202603,轻氧食品,O000109
B000110,U000471,P000117,云感食品饮料便携装,C02,食品饮料,buy,2026-01-10 19:33:00,54.00,1,jd,mac,上海市,上海市,regular,checkout,S000111,0,C202605,云感食品,O000110
B000111,U000508,P000099,云感服饰日常款,C03,服饰,buy,2026-01-11 12:42:00,230.00,1,offline,android,河南省,郑州市,regular,checkout,S000112,0,C202606,云感服饰,O000111
B000112,U000545,P000107,轻盈运动户外便携装,C07,运动户外,buy,2026-01-11 20:33:00,176.00,1,douyin,windows,四川省,成都市,regular,checkout,S000113,0,C202603,轻盈运动,O000112
B000113,U000582,P000164,臻选食品饮料日常款,C02,食品饮料,buy,2026-01-11 23:10:00,73.00,1,taobao,windows,福建省,厦门市,regular,checkout,S000114,0,C202604,臻选食品,O000113
B000114,U000619,P000062,臻选旅行用品便携装,C10,旅行用品,buy,2026-01-11 18:28:00,226.00,1,douyin,mac,上海市,上海市,regular,checkout,S000115,0,C202603,臻选旅行,O000114
B000115,U000656,P000170,臻选生鲜套装,C09,生鲜,buy,2026-01-11 16:15:00,77.00,1,taobao,windows,四川省,成都市,regular,checkout,S000116,0,C202605,臻选生鲜,O000115
B000116,U000693,P000104,臻选旅行用品日常款,C10,旅行用品,buy,2026-01-11 20:55:00,352.00,1,taobao,mac,浙江省,杭州市,regular,checkout,S000117,0,C202601,臻选旅行,O000116
B000117,U000730,P000084,轻氧服饰日常款,C03,服饰,buy,2026-01-11 10:18:00,130.00,2,douyin,android,四川省,成都市,regular,checkout,S000118,0,C202606,轻氧服饰,O000117
B000118,U000767,P000042,轻氧美妆个护便携装,C01,美妆个护,buy,2026-01-11 19:37:00,69.00,1,jd,windows,湖北省,武汉市,regular,checkout,S000119,0,C202603,轻氧美妆,O000118
B000119,U000804,P000157,悦活旅行用品便携装,C10,旅行用品,buy,2026-01-11 13:46:00,436.00,1,wechat,mac,上海市,上海市,regular,checkout,S000120,0,C202602,悦活旅行,O000119
B000120,U000841,P000161,轻盈家居日用旗舰款,C04,家居日用,buy,2026-01-11 08:12:00,160.00,1,search,android,江苏省,南京市,new,checkout,S000121,1,C202605,轻盈家居,O000120
B000121,U000878,P000116,臻选数码配件旗舰款,C05,数码配件,buy,2026-01-11 10:32:00,228.00,1,douyin,mac,福建省,厦门市,new,checkout,S000122,1,C202605,臻选数码,O000121
B000122,U000015,P000016,原野运动户外旗舰款,C07,运动户外,buy,2026-01-12 16:57:00,164.00,1,search,mac,湖北省,武汉市,high_value,checkout,S000123,0,C202604,原野运动,O000122
B000123,U000052,P000153,云感美妆个护升级版,C01,美妆个护,buy,2026-01-12 18:46:00,48.00,3,offline,android,北京市,北京市,high_value,checkout,S000124,0,C202602,云感美妆,O000123
B000124,U000089,P000047,轻盈服饰便携装,C03,服饰,buy,2026-01-12 22:51:00,154.00,1,jd,ios,湖北省,武汉市,high_value,checkout,S000125,0,C202601,轻盈服饰,O000124
B000125,U000126,P000165,云感生鲜套装,C09,生鲜,buy,2026-01-12 14:20:00,43.00,1,search,android,浙江省,杭州市,member,checkout,S000126,0,C202606,云感生鲜,O000125
B000126,U000163,P000075,云感母婴用品套装,C06,母婴用品,buy,2026-01-12 15:25:00,82.00,2,wechat,mac,江苏省,南京市,member,checkout,S000127,0,C202604,云感母婴,O000126
B000127,U000200,P000116,臻选数码配件旗舰款,C05,数码配件,buy,2026-01-12 10:19:00,228.00,1,search,ios,浙江省,杭州市,member,checkout,S000128,0,C202601,臻选数码,O000127
B000128,U000237,P000157,悦活旅行用品便携装,C10,旅行用品,buy,2026-01-12 10:28:00,436.00,1,douyin,ios,江苏省,南京市,member,checkout,S000129,0,C202602,悦活旅行,O000128
B000129,U000274,P000125,轻盈生鲜套装,C09,生鲜,buy,2026-01-12 08:14:00,62.00,4,search,android,广东省,深圳市,member,checkout,S000130,0,C202603,轻盈生鲜,O000129
B000130,U000311,P000114,轻氧母婴用品日常款,C06,母婴用品,buy,2026-01-12 20:41:00,142.00,1,jd,ios,上海市,上海市,member,checkout,S000131,0,C202604,轻氧母婴,O000130
B000131,U000348,P000151,悦活美妆个护旗舰款,C01,美妆个护,buy,2026-01-12 17:41:00,38.00,1,jd,ios,北京市,北京市,member,checkout,S000132,0,C202606,悦活美妆,O000131
B000132,U000385,P000019,悦活家居日用日常款,C04,家居日用,buy,2026-01-12 19:46:00,71.00,1,search,ios,北京市,北京市,member,checkout,S000133,0,C202606,悦活家居,O000132
B000133,U000422,P000106,原野母婴用品旗舰款,C06,母婴用品,buy,2026-01-13 22:28:00,102.00,1,douyin,windows,湖北省,武汉市,regular,checkout,S000134,0,C202601,原野母婴,O000133
B000134,U000459,P000025,悦活宠物用品套装,C08,宠物用品,buy,2026-01-13 20:05:00,105.00,1,search,ios,湖北省,武汉市,regular,checkout,S000135,0,C202606,悦活宠物,O000134
B000135,U000496,P000117,云感食品饮料便携装,C02,食品饮料,buy,2026-01-13 19:38:00,54.00,1,jd,mac,湖北省,武汉市,regular,checkout,S000136,0,C202605,云感食品,O000135
B000136,U000533,P000091,悦活母婴用品旗舰款,C06,母婴用品,buy,2026-01-13 10:24:00,87.00,3,wechat,ios,四川省,成都市,regular,checkout,S000137,0,C202602,悦活母婴,O000136
B000137,U000570,P000081,云感数码配件旗舰款,C05,数码配件,buy,2026-01-13 09:44:00,152.00,2,offline,ios,江苏省,南京市,regular,checkout,S000138,0,C202602,云感数码,O000137
B000138,U000607,P000058,原野生鲜升级版,C09,生鲜,buy,2026-01-13 15:51:00,44.00,1,jd,windows,湖北省,武汉市,regular,checkout,S000139,0,C202606,原野生鲜,O000138
B000139,U000644,P000126,轻氧旅行用品旗舰款,C10,旅行用品,buy,2026-01-13 17:03:00,248.00,1,search,mac,山东省,青岛市,regular,checkout,S000140,0,C202601,轻氧旅行,O000139
B000140,U000681,P000158,臻选母婴用品升级版,C06,母婴用品,buy,2026-01-13 21:30:00,121.00,4,search,windows,江苏省,南京市,regular,checkout,S000141,0,C202604,臻选母婴,O000140
B000141,U000718,P000039,云感生鲜日常款,C09,生鲜,buy,2026-01-13 13:30:00,109.00,1,offline,mac,河南省,郑州市,regular,checkout,S000142,0,C202603,云感生鲜,O000141
B000142,U000755,P000062,臻选旅行用品便携装,C10,旅行用品,buy,2026-01-13 17:56:00,226.00,1,jd,windows,浙江省,杭州市,regular,checkout,S000143,0,C202601,臻选旅行,O000142
B000143,U000792,P000079,悦活服饰日常款,C03,服饰,buy,2026-01-13 12:17:00,452.00,3,taobao,android,山东省,青岛市,regular,checkout,S000144,0,C202603,悦活服饰,O000143
