refund_id,order_id,user_id,refund_amount,refund_at,refund_reason,refund_type,status,channel
R000054,O000981,U000270,261.00,2026-05-05 11:05:00,商品破损,full,approved,search
R000055,O001001,U000452,328.00,2026-05-07 11:09:00,发货延迟,full,approved,offline
R000056,O001019,U000738,572.00,2026-05-09 12:17:00,不想要了,full,approved,search
R000057,O001036,U000033,377.00,2026-05-12 12:06:00,发货延迟,full,pending,douyin
R000058,O001055,U000366,76.00,2026-05-14 09:51:00,发货延迟,full,pending,taobao
R000059,O001074,U000864,298.00,2026-05-16 15:56:00,不想要了,full,pending,search
R000060,O001092,U000101,210.58,2026-05-19 19:33:00,与描述不符,partial,approved,wechat
R000061,O001109,U000761,462.00,2026-05-21 21:06:00,尺码不合适,full,pending,douyin
R000062,O001126,U000847,1202.00,2026-05-23 10:27:00,发货延迟,full,approved,offline
R000063,O001146,U000882,193.69,2026-05-25 21:50:00,发货延迟,partial,approved,offline
R000064,O001164,U000058,217.11,2026-05-28 19:11:00,不想要了,partial,approved,wechat
R000065,O001181,U000801,176.00,2026-05-30 15:44:00,尺码不合适,full,approved,douyin
R000066,O001199,U000375,564.00,2026-06-01 14:45:00,不想要了,full,pending,wechat
R000067,O001217,U000625,55.05,2026-06-04 18:18:00,重复下单,partial,approved,taobao
R000068,O001235,U000080,514.00,2026-06-06 13:07:00,与描述不符,full,approved,taobao
R000069,O001253,U000813,268.54,2026-06-08 16:15:00,尺码不合适,partial,approved,taobao
R000070,O001271,U000233,759.00,2026-06-11 09:54:00,不想要了,full,approved,taobao
R000071,O001292,U000891,236.00,2026-06-13 13:55:00,发货延迟,full,pending,jd
R000072,O001309,U000454,544.68,2026-06-15 09:04:00,发货延迟,partial,pending,taobao
R000073,O001327,U000607,782.00,2026-06-17 19:52:00,发货延迟,full,approved,wechat
R000074,O001345,U000734,573.00,2026-06-20 14:12:00,不想要了,full,approved,taobao
R000075,O001362,U000474,456.00,2026-06-22 14:48:00,商品破损,full,approved,taobao
R000076,O001379,U000287,335.40,2026-06-24 13:17:00,重复下单,partial,pending,taobao
R000077,O001396,U000681,2490.00,2026-06-27 21:22:00,与描述不符,full,pending,douyin
R000078,O001416,U000340,86.07,2026-06-29 22:08:00,尺码不合适,partial,approved,jd
R000079,O001434,U000437,446.22,2026-06-30 22:06:00,尺码不合适,partial,approved,wechat
R000080,O001453,U000260,143.00,2026-06-30 13:38:00,尺码不合适,full,approved,jd
R000081,O001470,U000551,233.40,2026-06-30 20:34:00,发货延迟,partial,approved,search
R000082,O001489,U000270,1005.00,2026-06-30 10:08:00,重复下单,full,approved,wechat
R000083,O001507,U000737,743.00,2026-06-30 20:39:00,不想要了,full,pending,jd
R000084,O001526,U000335,372.00,2026-06-30 13:53:00,重复下单,full,pending,search
R000085,O001545,U000894,257.14,2026-06-30 19:18:00,尺码不合适,partial,pending,taobao
R000086,O001563,U000023,187.00,2026-06-30 22:57:00,尺码不合适,full,approved,taobao
R000087,O001581,U000038,1035.47,2026-06-30 09:39:00,与描述不符,partial,approved,offline
R000088,O001598,U000566,340.00,2026-06-30 13:10:00,与描述不符,full,pending,offline
R000089,O001618,U000001,130.00,2026-06-30 11:37:00,尺码不合适,full,pending,wechat
R000090,O001636,U000266,599.26,2026-06-30 10:33:00,发货延迟,partial,pending,taobao
R000091,O001653,U000585,297.00,2026-06-30 14:51:00,商品破损,full,approved,jd
R000092,O001671,U000211,305.28,2026-06-30 21:56:00,尺码不合适,partial,pending,jd
R000093,O001689,U000520,558.00,2026-06-30 16:00:00,发货延迟,full,pending,taobao
R000094,O001707,U000478,828.00,2026-06-30 21:25:00,商品破损,full,pending,taobao
R000095,O001725,U000393,403.00,2026-06-30 11:14:00,发货延迟,full,approved,offline
R000096,O001742,U000126,541.00,2026-06-30 18:11:00,与描述不符,full,pending,search
R000097,O001759,U000661,52.30,2026-06-30 11:13:00,重复下单,partial,approved,douyin
R000098,O001777,U000310,73.00,2026-06-30 13:17:00,发货延迟,full,approved,jd
R000099,O001795,U000197,388.00,2026-06-30 18:28:00,与描述不符,full,approved,jd
R000100,O001813,U000845,1242.00,2026-06-30 09:07:00,商品破损,full,approved,search
R000101,O001830,U000213,141.78,2026-06-30 21:05:00,商品破损,partial,approved,offline
R000102,O001848,U000332,69.53,2026-06-30 20:51:00,商品破损,partial,pending,offline
R000103,O001866,U000635,215.00,2026-06-30 20:45:00,重复下单,full,approved,search
R000104,O001886,U000116,196.00,2026-06-30 16:57:00,尺码不合适,full,approved,jd
R000105,O001904,U000671,1055.00,2026-06-30 18:39:00,发货延迟,full,approved,search
R000106,O001922,U000262,398.96,2026-06-30 12:07:00,尺码不合适,partial,approved,taobao
R000107,O001940,U000507,116.29,2026-06-30 19:59:00,尺码不合适,partial,pending,douyin
R000108,O001957,U000181,433.00,2026-06-30 12:52:00,发货延迟,full,approved,douyin
R000109,O001975,U000591,1065.00,2026-06-30 20:36:00,尺码不合适,full,approved,douyin
R000110,O001993,U000551,202.54,2026-06-30 19:22:00,与描述不符,partial,pending,wechat
R000111,O000010,U000371,210.00,2026-06-30 12:41:00,发货延迟,full,approved,jd
R000112,O000028,U000137,224.00,2026-06-30 19:22:00,商品破损,full,pending,douyin
R000113,O000047,U000840,1078.00,2026-06-30 19:49:00,重复下单,full,approved,taobao
R000114,O000066,U000643,369.00,2026-06-30 10:03:00,重复下单,full,pending,search
R000115,O000085,U000446,2577.00,2026-06-30 11:59:00,与描述不符,full,pending,taobao
R000116,O000102,U000175,73.00,2026-06-30 21:08:00,尺码不合适,full,pending,taobao
R000117,O000119,U000804,544.00,2026-06-30 14:07:00,重复下单,full,approved,wechat
R000118,O000137,U000570,837.00,2026-06-30 20:25:00,不想要了,full,approved,offline
R000119,O000156,U000373,42.04,2026-06-30 11:09:00,重复下单,partial,approved,douyin
R000120,O000175,U000176,1230.00,2026-06-30 14:15:00,尺码不合适,full,pending,offline
R000121,O000195,U000016,38.00,2026-06-30 11:03:00,不想要了,full,approved,offline
R000122,O000213,U000682,88.00,2026-06-30 20:56:00,尺码不合适,full,approved,search
R000123,O000230,U000411,728.00,2026-06-30 18:29:00,与描述不符,full,pending,douyin
R000124,O000248,U000177,363.00,2026-06-30 18:29:00,与描述不符,full,approved,offline
R000125,O000267,U000880,602.59,2026-06-30 09:17:00,重复下单,partial,approved,search
R000126,O000285,U000646,302.00,2026-06-30 16:59:00,与描述不符,full,pending,search
R000127,O000306,U000523,354.00,2026-06-30 22:37:00,重复下单,full,pending,taobao
R000128,O000324,U000289,508.00,2026-06-30 15:32:00,商品破损,full,approved,douyin
R000129,O000342,U000055,482.00,2026-06-30 09:43:00,尺码不合适,full,pending,offline
R000130,O000360,U000721,1441.00,2026-06-30 15:59:00,不想要了,full,approved,douyin
R000131,O000378,U000487,1261.00,2026-06-30 22:18:00,与描述不符,full,approved,wechat
R000132,O000396,U000253,332.00,2026-06-30 18:10:00,发货延迟,full,approved,taobao
R000133,O000414,U000019,905.00,2026-06-30 17:48:00,不想要了,full,approved,taobao
R000134,O000431,U000648,242.82,2026-06-30 13:02:00,不想要了,partial,pending,search
R000135,O000451,U000488,748.00,2026-06-30 12:28:00,尺码不合适,full,approved,taobao
R000136,O000469,U000254,375.00,2026-06-30 16:19:00,发货延迟,full,pending,jd
R000137,O000486,U000883,151.00,2026-06-30 12:50:00,发货延迟,full,approved,jd
R000138,O000505,U000686,363.00,2026-06-30 10:38:00,商品破损,full,approved,taobao
R000139,O000523,U000452,260.00,2026-06-30 17:51:00,商品破损,full,approved,douyin
R000140,O000541,U000218,439.00,2026-06-30 10:24:00,商品破损,full,approved,search
R000141,O000561,U000058,462.00,2026-06-30 10:29:00,发货延迟,full,approved,offline
R000142,O000578,U000687,695.00,2026-06-30 21:53:00,重复下单,full,pending,taobao
R000143,O000597,U000490,513.00,2026-06-30 20:55:00,与描述不符,full,approved,search
R000144,O000616,U000293,571.00,2026-06-30 20:52:00,尺码不合适,full,approved,wechat
R000145,O000634,U000059,95.72,2026-06-30 22:38:00,发货延迟,partial,pending,search
R000146,O000651,U000688,150.00,2026-06-30 22:17:00,尺码不合适,full,approved,wechat
R000147,O000669,U000454,62.77,2026-06-30 11:38:00,发货延迟,partial,approved,douyin
R000148,O000687,U000220,293.85,2026-06-30 15:20:00,不想要了,partial,approved,douyin
R000149,O000705,U000886,47.00,2026-06-30 18:32:00,发货延迟,full,approved,offline
R000150,O000722,U000615,163.16,2026-06-30 11:07:00,重复下单,partial,approved,jd
R000151,O000741,U000418,761.76,2026-06-30 14:43:00,发货延迟,partial,approved,offline
R000152,O000759,U000184,597.00,2026-06-30 11:32:00,与描述不符,full,approved,wechat
R000153,O000777,U000850,637.00,2026-06-30 13:51:00,重复下单,full,approved,taobao
R000154,O000794,U000579,248.75,2026-06-30 11:45:00,重复下单,partial,approved,wechat
R000155,O000812,U000345,590.00,2026-06-30 21:46:00,重复下单,full,pending,search
R000156,O000829,U000074,397.00,2026-06-30 19:02:00,商品破损,full,approved,wechat
R000157,O000847,U000740,496.00,2026-06-30 14:52:00,与描述不符,full,pending,search
R000158,O000865,U000506,308.00,2026-06-30 22:41:00,重复下单,full,approved,search
R000159,O000882,U000235,335.84,2026-06-30 21:32:00,尺码不合适,partial,approved,wechat
R000160,O000900,U000001,169.00,2026-06-30 09:13:00,商品破损,full,approved,jd
R000161,O000920,U000285,1630.00,2026-06-30 20:29:00,发货延迟,full,pending,taobao
R000162,O000937,U000357,89.00,2026-06-30 09:02:00,与描述不符,full,approved,wechat
R000163,O000955,U000889,216.00,2026-06-30 18:18:00,尺码不合适,full,approved,douyin
R000164,O000973,U000497,340.00,2026-06-30 19:31:00,与描述不符,full,approved,search
R000165,O000992,U000714,85.90,2026-06-30 17:56:00,发货延迟,partial,approved,douyin
R000166,O001010,U000198,713.00,2026-06-30 12:00:00,与描述不符,full,approved,search
R000167,O001028,U000885,350.00,2026-06-30 09:33:00,商品破损,full,approved,offline
R000168,O001045,U000127,705.00,2026-06-30 20:27:00,重复下单,full,pending,douyin
R000169,O001065,U000015,504.00,2026-06-30 20:27:00,发货延迟,full,approved,douyin
R000170,O001084,U000160,194.00,2026-06-30 09:06:00,不想要了,full,approved,taobao
R000171,O001101,U000747,168.00,2026-06-30 10:31:00,尺码不合适,full,approved,offline
R000172,O001118,U000713,318.02,2026-06-30 10:53:00,重复下单,partial,approved,search
R000173,O001136,U000500,1287.00,2026-06-30 20:59:00,发货延迟,full,approved,douyin
R000174,O001155,U000278,178.38,2026-06-30 12:22:00,不想要了,partial,approved,douyin
R000175,O001173,U000407,321.00,2026-06-30 14:48:00,与描述不符,full,pending,taobao
R000176,O001191,U000553,230.00,2026-06-30 16:28:00,重复下单,full,approved,douyin
R000177,O001208,U000892,227.40,2026-06-30 15:11:00,商品破损,partial,approved,douyin
R000178,O001227,U000292,110.82,2026-06-30 15:48:00,发货延迟,partial,pending,taobao
R000179,O001244,U000067,30.72,2026-06-30 10:48:00,发货延迟,partial,pending,offline
R000180,O001262,U000473,243.00,2026-06-30 22:54:00,发货延迟,full,pending,offline
R000181,O001282,U000400,262.82,2026-06-30 11:53:00,与描述不符,partial,approved,offline
R000182,O001301,U000011,444.00,2026-06-30 09:53:00,商品破损,full,approved,douyin
R000183,O001319,U000609,832.00,2026-06-30 18:41:00,与描述不符,full,approved,taobao
R000184,O001337,U000052,618.00,2026-06-30 09:11:00,与描述不符,full,approved,search
R000185,O001354,U000054,2600.00,2026-06-30 20:25:00,商品破损,full,approved,offline
R000186,O001371,U000014,362.00,2026-06-30 22:45:00,商品破损,full,approved,douyin
R000187,O001388,U000718,468.00,2026-06-30 14:27:00,重复下单,full,approved,offline
R000188,O001406,U000077,76.00,2026-06-30 22:02:00,重复下单,full,approved,offline
R000189,O001426,U000683,979.00,2026-06-30 09:06:00,与描述不符,full,approved,wechat
R000190,O001443,U000555,1249.00,2026-06-30 22:30:00,商品破损,full,approved,search
R000191,O001462,U000335,140.62,2026-06-30 19:51:00,尺码不合适,partial,pending,taobao
R000192,O001480,U000895,1036.00,2026-06-30 16:15:00,与描述不符,full,pending,offline
R000193,O001498,U000825,362.00,2026-06-30 18:54:00,商品破损,full,approved,offline
R000194,O001517,U000462,562.00,2026-06-30 11:48:00,尺码不合适,full,approved,taobao
R000195,O001536,U000122,664.00,2026-06-30 18:43:00,尺码不合适,full,pending,offline
R000196,O001555,U000194,468.00,2026-06-30 14:27:00,尺码不合适,full,approved,douyin
R000197,O001572,U000475,230.00,2026-06-30 16:46:00,与描述不符,full,approved,taobao
R000198,O001590,U000619,557.00,2026-06-30 12:15:00,不想要了,full,approved,search
R000199,O001609,U000048,171.00,2026-06-30 18:26:00,发货延迟,full,approved,douyin
R000200,O001628,U000375,448.00,2026-06-30 12:36:00,不想要了,full,pending,offline
R000201,O001645,U000560,481.00,2026-06-30 10:49:00,不想要了,full,approved,search
R000202,O001663,U000451,473.00,2026-06-30 09:48:00,重复下单,full,approved,douyin
R000203,O001681,U000800,69.05,2026-06-30 12:53:00,与描述不符,partial,approved,taobao
R000204,O001699,U000598,249.00,2026-06-30 20:02:00,不想要了,full,approved,taobao
R000205,O001716,U000661,565.00,2026-06-30 11:36:00,与描述不符,full,pending,search
R000206,O001734,U000344,204.23,2026-06-30 18:31:00,重复下单,partial,approved,jd
R000207,O001751,U000084,214.91,2026-06-30 16:16:00,与描述不符,partial,approved,jd
R000208,O001769,U000679,106.00,2026-06-30 09:09:00,商品破损,full,pending,taobao
R000209,O001787,U000455,363.00,2026-06-30 09:13:00,尺码不合适,full,approved,search
R000210,O001805,U000216,347.00,2026-06-30 16:54:00,不想要了,full,pending,search
R000211,O001822,U000767,431.00,2026-06-30 15:01:00,商品破损,full,pending,search
R000212,O001840,U000858,147.00,2026-06-30 19:21:00,商品破损,full,approved,taobao
R000213,O001857,U000843,582.00,2026-06-30 14:34:00,不想要了,full,pending,jd
R000214,O001877,U000233,71.00,2026-06-30 18:56:00,重复下单,full,approved,search
R000215,O001895,U000273,251.00,2026-06-30 12:22:00,不想要了,full,approved,offline
R000216,O001914,U000820,319.68,2026-06-30 19:14:00,与描述不符,partial,approved,jd
R000217,O001932,U000872,509.00,2026-06-30 20:39:00,尺码不合适,full,approved,offline
R000218,O001949,U000613,324.00,2026-06-30 16:17:00,重复下单,full,approved,taobao
R000219,O001966,U000035,147.00,2026-06-30 19:54:00,商品破损,full,approved,taobao
R000220,O99999,U000499,785.00,2026-06-30 17:34:00,不想要了,full,approved,taobao
